id,age,gender,driving_experience,education,income,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,duis,past_accidents,brake_type,brake_pad_wear,brake_fluid_level,ABS,traction_control,average_speed,braking_habits,following_distance,brake_response_time,outcome
240658,0,0,0-9y,high school,working class,1,before 2015,0,1,10238,18000.0,sedan,0,0,0,Drum,50%,High,0,0,90,Aggressive,4 car length,0.7,1
484399,0,0,0-9y,high school,working class,0,before 2015,0,0,10238,17000.0,sedan,0,0,0,Drum,30%,Low,0,0,60,Normal,3 car length,0.4,1
912828,0,1,0-9y,high school,middle class,1,after 2015,1,1,32765,8000.0,sedan,0,0,0,Disc,10%,High,1,0,70,Normal,4 car length,0.6,1
892754,2,1,20-29y,none,poverty,1,before 2015,1,1,10238,13000.0,sedan,3,1,1,Drum,30%,High,0,0,90,Normal,4 car length,0.7,0
217,0,1,0-9y,none,poverty,0,before 2015,0,0,10238,17000.0,sedan,0,0,0,Drum,90%,Medium,0,0,60,Conservative,1 car length,0.4,0
633896,3,1,30y+,high school,upper class,1,before 2015,1,1,32765,7000.0,sedan,13,2,3,Drum,70%,High,1,0,85,Normal,1 car length,0.9,0
193110,1,0,10-19y,university,middle class,1,before 2015,1,0,10238,14000.0,sports car,0,0,0,Drum,10%,Low,0,0,70,Normal,2 car length,0.6,0
98515,2,1,10-19y,high school,middle class,1,before 2015,0,0,10238,13000.0,sedan,1,1,0,Drum,90%,High,0,0,70,Normal,1 car length,0.7,0
165623,1,1,10-19y,none,poverty,1,before 2015,1,0,10238,15000.0,sedan,0,0,1,Drum,90%,Low,0,0,70,Normal,1 car length,0.6,0
493590,1,1,10-19y,university,middle class,0,after 2015,0,0,10238,17000.0,sedan,0,0,1,Drum,90%,Medium,0,0,90,Aggressive,3 car length,0.6,0
389792,3,1,0-9y,university,upper class,1,after 2015,1,1,32765,9000.0,sedan,0,0,0,Disc,10%,Low,0,1,90,Normal,4 car length,0.4,1
642614,2,1,20-29y,high school,middle class,1,after 2015,1,1,92101,7000.0,sedan,2,0,1,Drum,10%,Low,1,1,40,Normal,1 car length,0.6,0
951465,3,0,30y+,university,upper class,1,before 2015,1,1,10238,10000.0,sedan,3,1,1,Drum,90%,Low,0,0,90,Normal,3 car length,0.9,0
496987,0,1,0-9y,none,poverty,1,before 2015,1,1,10238,9000.0,sedan,0,0,0,Drum,30%,Low,0,0,70,Normal,2 car length,0.7,0
732437,0,1,0-9y,none,poverty,1,before 2015,0,1,32765,10000.0,sedan,0,0,0,Drum,10%,High,0,0,90,Aggressive,4 car length,0.7,1
146897,1,0,0-9y,high school,middle class,1,before 2015,1,1,21217,11000.0,sedan,0,0,0,Drum,10%,High,0,0,85,Normal,4 car length,0.4,1
316173,0,1,0-9y,university,working class,0,after 2015,0,0,32765,8000.0,sedan,0,0,0,Disc,70%,High,0,0,70,Conservative,2 car length,0.5,1
9013,1,1,10-19y,high school,working class,1,before 2015,0,1,10238,17000.0,sedan,3,0,2,Drum,10%,Low,0,0,70,Aggressive,2 car length,0.4,0
511757,2,0,10-19y,none,middle class,1,before 2015,1,1,10238,11000.0,sedan,2,0,1,Drum,90%,Medium,0,0,60,Normal,2 car length,0.6,0
429947,3,1,30y+,university,upper class,0,after 2015,0,1,10238,12000.0,sports car,6,0,5,Disc,70%,High,1,1,90,Normal,4 car length,0.4,0
485660,2,1,10-19y,university,upper class,1,before 2015,0,1,92101,14000.0,sedan,1,0,1,Drum,10%,Medium,1,1,70,Aggressive,2 car length,0.4,0
80496,3,1,30y+,high school,upper class,1,before 2015,1,1,10238,10000.0,sedan,5,1,3,Drum,30%,Low,1,0,55,Normal,2 car length,1.0,0
478336,2,1,20-29y,university,upper class,1,after 2015,0,1,10238,16000.0,sedan,4,0,2,Disc,30%,High,0,1,90,Normal,3 car length,0.5,0
10843,2,1,20-29y,university,upper class,0,after 2015,1,1,32765,9000.0,sedan,10,2,0,Drum,70%,Medium,1,1,70,Aggressive,1 car length,0.6,0
397446,0,1,0-9y,none,poverty,0,before 2015,0,0,10238,16000.0,sedan,0,0,0,Drum,90%,Low,0,0,70,Normal,3 car length,0.5,1
101678,1,0,10-19y,high school,poverty,0,before 2015,0,1,10238,13000.0,sedan,1,0,0,Drum,30%,High,0,0,40,Aggressive,4 car length,0.4,1
231661,2,1,20-29y,high school,middle class,0,before 2015,0,0,10238,14000.0,sports car,3,0,4,Drum,90%,Low,0,0,90,Aggressive,3 car length,0.5,0
173782,3,1,20-29y,high school,upper class,1,after 2015,1,1,10238,7000.0,sedan,7,0,5,Disc,90%,Medium,1,0,70,Normal,3 car length,0.7,0
921097,2,0,20-29y,university,upper class,1,after 2015,1,1,92101,11000.0,sedan,3,0,2,Drum,90%,Medium,0,0,70,Normal,1 car length,0.6,0
98839,1,0,10-19y,university,working class,1,before 2015,0,1,32765,12000.0,sedan,1,0,0,Drum,50%,Medium,0,0,90,Normal,4 car length,0.5,0
105372,1,0,10-19y,none,working class,0,before 2015,0,1,10238,14000.0,sedan,1,0,0,Drum,10%,Low,0,0,70,Normal,2 car length,0.7,0
888828,2,1,20-29y,university,upper class,1,before 2015,1,0,10238,14000.0,sedan,3,0,2,Drum,30%,High,1,0,90,Normal,3 car length,0.4,0
37454,1,0,0-9y,high school,working class,0,before 2015,0,0,10238,17000.0,sedan,0,0,0,Drum,50%,Medium,0,0,40,Normal,3 car length,0.4,1
370044,3,1,20-29y,university,upper class,0,after 2015,1,1,32765,7000.0,sedan,9,0,1,Drum,90%,Medium,1,0,90,Normal,1 car length,1.0,0
768282,0,0,0-9y,university,working class,0,before 2015,1,1,10238,8000.0,sedan,0,0,0,Drum,10%,High,0,0,70,Normal,1 car length,0.5,1
738729,0,0,0-9y,none,working class,1,before 2015,1,1,10238,7000.0,sedan,0,0,0,Drum,70%,High,0,0,60,Normal,1 car length,0.4,1
437535,1,0,10-19y,high school,middle class,1,after 2015,1,0,10238,15000.0,sedan,0,0,0,Disc,90%,High,0,0,40,Normal,2 car length,0.5,0
329536,0,0,0-9y,high school,poverty,0,before 2015,0,0,32765,9000.0,sedan,0,0,0,Drum,30%,Low,0,0,85,Conservative,2 car length,0.4,1
328531,2,0,20-29y,university,middle class,0,after 2015,0,1,32765,12000.0,sedan,2,0,1,Drum,70%,Low,1,0,70,Aggressive,3 car length,0.7,0
123941,2,0,20-29y,university,middle class,1,after 2015,1,1,10238,,sedan,0,0,0,Disc,10%,Low,0,0,90,Normal,1 car length,0.4,0
131881,1,1,10-19y,university,working class,1,before 2015,0,0,10238,16000.0,sedan,0,1,0,Drum,90%,High,0,0,90,Conservative,3 car length,0.6,0
839572,2,1,20-29y,high school,working class,0,before 2015,1,1,10238,12000.0,sedan,3,0,1,Drum,90%,Low,0,0,70,Normal,4 car length,0.4,0
171578,1,1,10-19y,university,upper class,1,before 2015,1,1,10238,8000.0,sedan,2,0,1,Drum,10%,Low,0,1,70,Normal,4 car length,0.6,0
589757,2,0,20-29y,high school,upper class,1,before 2015,1,1,92101,7000.0,sedan,2,0,0,Drum,10%,Medium,1,0,90,Normal,2 car length,0.6,0
336859,0,0,0-9y,university,middle class,1,before 2015,0,1,10238,15000.0,sedan,0,0,0,Drum,30%,Medium,0,0,60,Normal,1 car length,0.4,1
788111,2,0,20-29y,high school,poverty,1,before 2015,1,1,10238,,sedan,1,0,1,Drum,90%,Low,0,0,90,Normal,1 car length,0.6,0
407453,2,0,0-9y,university,upper class,1,before 2015,0,0,10238,,sedan,0,0,0,Drum,70%,High,0,1,55,Aggressive,4 car length,0.7,0
367026,2,0,10-19y,high school,working class,1,before 2015,1,1,10238,11000.0,sedan,0,0,0,Drum,50%,Low,0,0,70,Normal,1 car length,0.5,0
334687,2,0,0-9y,university,middle class,1,before 2015,0,0,10238,15000.0,sedan,0,0,0,Drum,90%,Low,0,0,40,Conservative,1 car length,0.5,1
623367,3,1,20-29y,university,upper class,1,before 2015,1,1,32765,5000.0,sedan,4,1,4,Drum,90%,Medium,0,0,70,Normal,1 car length,0.8,0
688440,3,1,10-19y,university,upper class,1,before 2015,1,1,10238,10000.0,sedan,2,0,0,Drum,90%,Low,1,1,85,Normal,3 car length,0.8,0
547974,3,1,20-29y,high school,upper class,0,before 2015,1,1,10238,12000.0,sedan,2,1,7,Drum,90%,Low,0,0,70,Normal,2 car length,0.8,1
989064,1,1,0-9y,none,poverty,0,after 2015,1,1,10238,12000.0,sedan,0,0,0,Drum,30%,Low,0,0,85,Normal,1 car length,0.4,1
422816,2,1,20-29y,high school,working class,1,before 2015,0,0,10238,12000.0,sedan,5,0,7,Drum,70%,Medium,0,0,60,Aggressive,2 car length,0.5,0
307408,1,0,10-19y,none,working class,1,before 2015,0,1,10238,9000.0,sedan,2,0,0,Drum,90%,Low,0,0,60,Conservative,2 car length,0.6,0
675898,0,1,0-9y,high school,middle class,1,before 2015,0,1,10238,16000.0,sedan,0,0,0,Drum,70%,Low,0,0,70,Normal,2 car length,0.4,0
480452,1,0,0-9y,university,upper class,1,before 2015,1,1,10238,12000.0,sedan,0,0,0,Drum,30%,High,0,1,70,Normal,1 car length,0.6,0
93199,2,0,0-9y,university,middle class,1,after 2015,1,1,10238,14000.0,sedan,0,0,0,Drum,30%,High,1,1,60,Normal,3 car length,0.5,0
125802,2,0,20-29y,university,upper class,1,before 2015,1,1,10238,10000.0,sedan,0,0,1,Drum,90%,Medium,1,0,70,Normal,3 car length,0.7,0
616663,2,1,0-9y,university,upper class,1,after 2015,0,0,10238,16000.0,sedan,0,0,0,Disc,30%,Low,1,0,90,Normal,4 car length,0.7,0
423497,0,0,0-9y,high school,working class,1,before 2015,0,0,10238,16000.0,sedan,0,0,0,Drum,90%,Low,0,0,90,Conservative,4 car length,0.7,1
492837,2,0,10-19y,university,upper class,1,after 2015,1,1,10238,14000.0,sedan,0,0,0,Drum,10%,High,0,0,90,Normal,2 car length,0.4,0
422563,2,1,20-29y,university,upper class,0,before 2015,0,1,10238,14000.0,sedan,2,0,1,Drum,70%,High,0,0,85,Conservative,4 car length,0.5,0
185231,0,0,0-9y,high school,middle class,1,before 2015,0,1,10238,11000.0,sedan,0,0,0,Drum,30%,High,0,0,40,Aggressive,4 car length,0.5,0
949152,1,0,10-19y,university,upper class,0,after 2015,0,0,32765,9000.0,sedan,0,0,0,Drum,70%,High,1,1,70,Conservative,2 car length,0.6,0
859453,1,1,10-19y,university,middle class,1,before 2015,1,1,10238,13000.0,sedan,1,0,2,Drum,30%,Medium,0,0,70,Normal,1 car length,0.4,0
466578,1,0,10-19y,high school,middle class,1,after 2015,0,1,10238,14000.0,sedan,0,0,0,Drum,10%,Medium,1,1,90,Conservative,4 car length,0.7,0
998214,0,0,0-9y,none,poverty,0,before 2015,0,0,10238,14000.0,sedan,0,0,0,Drum,90%,Low,0,0,60,Aggressive,2 car length,0.4,1
828462,2,1,20-29y,high school,working class,0,before 2015,0,1,10238,16000.0,sedan,0,0,6,Drum,30%,Medium,0,0,85,Normal,1 car length,0.4,0
511837,3,1,10-19y,high school,middle class,1,before 2015,1,1,32765,9000.0,sedan,3,1,1,Drum,90%,Medium,0,0,70,Normal,4 car length,1.0,0
554995,0,1,0-9y,university,upper class,1,before 2015,1,1,10238,12000.0,sports car,0,0,0,Drum,90%,Low,1,0,70,Normal,4 car length,0.7,1
680717,3,1,30y+,none,middle class,1,before 2015,1,1,10238,14000.0,sedan,6,1,3,Drum,90%,Low,0,0,70,Normal,3 car length,0.8,0
978021,2,1,20-29y,university,upper class,1,after 2015,1,1,10238,7000.0,sedan,4,0,6,Drum,90%,Low,0,0,70,Normal,3 car length,0.4,0
509815,1,0,0-9y,high school,working class,1,after 2015,1,1,32765,,sedan,0,0,0,Disc,30%,High,0,0,70,Normal,4 car length,0.7,0
6676,2,0,20-29y,high school,upper class,0,before 2015,0,1,10238,15000.0,sedan,3,0,2,Drum,50%,Low,1,1,85,Conservative,1 car length,0.5,0
362280,2,1,10-19y,high school,working class,0,before 2015,0,0,10238,13000.0,sedan,0,0,0,Drum,50%,Low,0,0,70,Conservative,4 car length,0.6,1
883018,2,1,0-9y,high school,working class,1,before 2015,0,1,10238,13000.0,sedan,0,0,0,Drum,50%,Medium,0,0,85,Aggressive,3 car length,0.5,0
889355,1,0,10-19y,university,upper class,1,before 2015,1,1,10238,15000.0,sedan,2,0,0,Drum,30%,Low,0,1,40,Normal,3 car length,0.6,0
198273,3,1,20-29y,university,upper class,1,after 2015,1,1,32765,9000.0,sedan,8,0,2,Disc,30%,Medium,0,1,55,Aggressive,1 car length,0.8,0
197763,2,1,20-29y,university,upper class,0,after 2015,1,0,10238,14000.0,sedan,1,0,2,Drum,50%,High,1,1,70,Normal,2 car length,0.4,0
55670,1,1,10-19y,university,upper class,1,after 2015,1,1,10238,11000.0,sedan,3,1,0,Drum,70%,High,1,1,85,Normal,3 car length,0.7,0
545941,2,0,20-29y,none,working class,1,after 2015,1,1,10238,11000.0,sedan,1,0,2,Drum,70%,Low,0,0,60,Normal,1 car length,0.5,0
814196,0,0,0-9y,none,middle class,1,before 2015,0,1,32765,,sedan,0,0,0,Drum,90%,Medium,0,0,60,Conservative,1 car length,0.5,1
560160,0,0,0-9y,high school,poverty,0,before 2015,0,0,10238,,sedan,0,0,0,Drum,10%,Low,0,0,55,Aggressive,1 car length,0.7,0
320444,1,1,0-9y,none,poverty,0,before 2015,0,1,10238,14000.0,sedan,0,0,0,Drum,50%,Medium,0,0,70,Conservative,2 car length,0.5,0
305793,0,1,0-9y,high school,poverty,0,before 2015,1,1,10238,11000.0,sedan,0,0,0,Drum,50%,Medium,0,0,40,Normal,1 car length,0.7,1
362190,0,1,0-9y,high school,poverty,0,before 2015,0,0,10238,14000.0,sedan,0,0,0,Drum,50%,Medium,0,0,85,Normal,1 car length,0.6,1
62647,1,1,10-19y,high school,upper class,1,before 2015,0,0,10238,13000.0,sedan,2,0,1,Drum,50%,Medium,1,1,85,Conservative,3 car length,0.4,0
296948,2,1,10-19y,university,upper class,1,after 2015,1,1,10238,14000.0,sedan,0,0,0,Disc,50%,High,0,0,40,Normal,1 car length,0.7,0
673660,3,0,30y+,high school,upper class,0,after 2015,1,1,10238,10000.0,sedan,4,1,3,Drum,90%,Medium,1,0,70,Normal,2 car length,0.9,0
945867,0,1,0-9y,university,middle class,1,before 2015,0,0,10238,13000.0,sedan,0,0,0,Drum,90%,High,0,0,85,Normal,1 car length,0.7,1
391880,3,1,30y+,none,middle class,1,before 2015,1,1,32765,10000.0,sedan,12,2,2,Drum,70%,Medium,0,0,70,Normal,1 car length,1.0,0
241973,3,0,30y+,high school,upper class,1,before 2015,1,0,10238,11000.0,sedan,2,0,2,Drum,70%,Low,1,1,40,Normal,2 car length,0.9,0
429503,0,1,0-9y,high school,poverty,0,before 2015,0,1,10238,15000.0,sedan,0,0,0,Drum,90%,Low,0,0,70,Conservative,4 car length,0.5,1
810013,0,1,0-9y,university,working class,1,after 2015,0,0,10238,14000.0,sports car,0,0,0,Drum,10%,Low,1,0,90,Aggressive,3 car length,0.4,1
663458,0,0,0-9y,high school,poverty,0,before 2015,0,0,10238,15000.0,sedan,0,0,0,Drum,10%,Low,0,0,90,Normal,3 car length,0.6,1
879976,0,1,0-9y,high school,working class,0,before 2015,1,1,32765,10000.0,sedan,0,0,0,Drum,30%,High,0,0,70,Normal,1 car length,0.4,1
418841,0,1,0-9y,none,poverty,1,before 2015,1,0,32765,9000.0,sedan,0,0,0,Drum,70%,High,0,0,60,Normal,1 car length,0.4,1
542236,1,1,10-19y,none,working class,1,before 2015,0,0,10238,12000.0,sedan,3,0,0,Drum,90%,Low,0,0,85,Normal,3 car length,0.7,0
937573,2,1,10-19y,university,upper class,1,before 2015,1,1,32765,7000.0,sedan,5,0,1,Drum,90%,Medium,0,1,85,Normal,3 car length,0.4,0
670850,0,1,0-9y,university,working class,1,before 2015,0,0,10238,17000.0,sedan,0,0,0,Drum,70%,Low,0,0,55,Aggressive,1 car length,0.5,1
151252,0,1,0-9y,university,middle class,1,before 2015,1,0,10238,11000.0,sedan,0,0,0,Drum,30%,Medium,0,0,85,Normal,3 car length,0.7,0
706349,3,1,10-19y,university,upper class,1,before 2015,1,1,10238,10000.0,sedan,1,1,2,Drum,70%,Medium,1,1,70,Normal,1 car length,0.8,0
602998,3,1,20-29y,none,working class,1,before 2015,1,0,10238,14000.0,sedan,3,1,7,Drum,50%,High,0,0,60,Normal,3 car length,1.0,0
242772,1,0,10-19y,none,middle class,1,before 2015,0,1,10238,10000.0,sedan,1,2,0,Drum,70%,High,0,0,55,Aggressive,1 car length,0.7,0
393449,1,0,10-19y,high school,middle class,0,before 2015,0,0,10238,12000.0,sedan,2,0,0,Drum,70%,Low,0,0,70,Conservative,3 car length,0.5,0
380740,3,1,30y+,university,upper class,1,after 2015,1,1,10238,7000.0,sedan,2,0,3,Disc,30%,High,1,0,85,Normal,3 car length,0.9,0
938115,0,0,0-9y,none,poverty,0,before 2015,0,1,32765,,sedan,0,0,0,Drum,50%,Medium,0,0,70,Aggressive,4 car length,0.6,1
727943,0,1,0-9y,university,middle class,1,before 2015,0,0,10238,11000.0,sedan,0,0,0,Drum,70%,Low,0,0,60,Aggressive,4 car length,0.4,1
766309,0,1,0-9y,high school,poverty,0,before 2015,0,0,10238,10000.0,sports car,0,0,0,Drum,10%,Medium,0,0,90,Normal,3 car length,0.7,1
261229,0,1,0-9y,university,working class,1,after 2015,0,1,32765,9000.0,sedan,0,0,0,Disc,10%,High,0,0,70,Conservative,3 car length,0.7,1
60866,3,1,20-29y,university,upper class,0,after 2015,0,1,10238,13000.0,sedan,3,0,2,Disc,50%,High,1,1,70,Normal,1 car length,0.7,0
752797,2,0,20-29y,high school,working class,1,before 2015,0,0,10238,15000.0,sedan,1,1,0,Drum,10%,Medium,0,0,90,Normal,1 car length,0.7,0
45002,3,1,30y+,high school,upper class,1,before 2015,1,1,10238,9000.0,sedan,4,1,2,Drum,10%,Low,0,1,70,Normal,1 car length,0.9,0
482448,0,1,0-9y,none,poverty,0,before 2015,0,0,32765,8000.0,sedan,0,0,0,Drum,10%,High,0,0,60,Aggressive,1 car length,0.6,1
549142,0,1,0-9y,university,middle class,1,before 2015,1,1,10238,12000.0,sedan,0,0,0,Drum,10%,High,0,0,55,Normal,2 car length,0.5,1
95138,2,1,20-29y,high school,middle class,0,after 2015,1,0,10238,14000.0,sedan,4,1,4,Disc,30%,High,0,0,90,Normal,3 car length,0.7,0
851152,1,0,10-19y,none,working class,0,before 2015,1,1,10238,,sedan,0,0,1,Drum,10%,Medium,0,0,85,Normal,3 car length,0.4,0
615991,2,0,20-29y,high school,upper class,1,after 2015,1,1,10238,11000.0,sedan,2,0,1,Drum,70%,Medium,1,1,85,Normal,4 car length,0.5,0
424820,1,0,10-19y,high school,middle class,1,before 2015,1,1,10238,,sedan,0,0,1,Drum,30%,Low,0,0,85,Normal,2 car length,0.5,0
807847,3,1,20-29y,university,upper class,1,after 2015,0,1,10238,14000.0,sedan,3,1,4,Drum,90%,Medium,1,0,90,Aggressive,3 car length,0.4,0
758983,2,1,20-29y,high school,middle class,1,after 2015,1,0,32765,12000.0,sedan,6,0,3,Drum,30%,Low,0,1,70,Normal,3 car length,0.5,0
987114,1,0,0-9y,university,middle class,0,before 2015,0,0,10238,16000.0,sedan,0,0,0,Drum,70%,Low,0,0,60,Conservative,4 car length,0.5,1
873457,2,1,20-29y,high school,middle class,1,before 2015,1,1,10238,13000.0,sedan,7,1,1,Drum,10%,Low,0,0,55,Normal,1 car length,0.4,0
699703,3,0,0-9y,university,upper class,0,before 2015,1,1,92101,10000.0,sedan,0,0,0,Drum,10%,Low,1,0,90,Normal,1 car length,0.8,1
563342,3,0,0-9y,university,upper class,1,before 2015,0,1,10238,13000.0,sedan,0,0,0,Drum,30%,Low,0,0,85,Aggressive,2 car length,0.9,0
504412,1,1,10-19y,university,working class,0,before 2015,1,1,10238,12000.0,sedan,3,2,3,Drum,90%,Low,0,0,40,Normal,2 car length,0.5,1
284106,3,1,30y+,university,upper class,1,before 2015,1,1,10238,12000.0,sedan,5,1,5,Drum,30%,Medium,0,0,90,Normal,1 car length,0.9,0
78189,0,0,0-9y,none,poverty,1,before 2015,0,0,32765,12000.0,sedan,0,0,0,Drum,70%,Medium,0,0,85,Normal,2 car length,0.4,1
427520,1,1,10-19y,university,middle class,0,before 2015,0,0,10238,16000.0,sedan,0,1,0,Drum,30%,Low,0,0,40,Conservative,2 car length,0.6,0
689030,2,0,20-29y,university,upper class,1,after 2015,1,0,92101,13000.0,sedan,1,0,1,Drum,50%,High,0,0,60,Normal,3 car length,0.4,0
966467,3,1,30y+,university,upper class,1,before 2015,1,1,10238,13000.0,sedan,5,2,4,Drum,30%,Low,0,1,60,Normal,3 car length,0.9,0
288712,3,1,30y+,university,upper class,1,after 2015,1,1,10238,12000.0,sedan,3,0,7,Disc,90%,Low,1,1,70,Normal,2 car length,0.9,0
228114,1,1,0-9y,high school,working class,1,before 2015,1,1,10238,10000.0,sedan,0,0,0,Drum,70%,Low,0,0,90,Normal,4 car length,0.4,0
63715,3,1,20-29y,university,upper class,1,before 2015,0,1,10238,13000.0,sedan,5,1,5,Drum,90%,High,0,0,85,Conservative,3 car length,0.8,0
624077,3,0,30y+,none,upper class,1,before 2015,1,1,32765,8000.0,sports car,10,0,1,Drum,50%,High,0,0,85,Normal,3 car length,0.9,0
726352,1,1,10-19y,none,poverty,0,before 2015,1,1,10238,16000.0,sedan,1,0,1,Drum,90%,High,0,0,60,Normal,2 car length,0.5,0
150072,0,0,0-9y,none,poverty,0,before 2015,0,0,21217,14000.0,sedan,0,0,0,Drum,70%,Medium,0,0,40,Normal,2 car length,0.7,1
792396,3,0,30y+,university,upper class,1,before 2015,1,1,10238,12000.0,sedan,1,2,2,Drum,90%,Medium,0,1,70,Normal,3 car length,0.9,0
768933,2,1,0-9y,high school,working class,1,before 2015,0,1,10238,16000.0,sedan,0,0,0,Drum,30%,Low,0,0,70,Normal,2 car length,0.6,1
452356,2,0,10-19y,none,middle class,1,before 2015,0,1,32765,10000.0,sedan,2,0,0,Drum,50%,Low,0,0,90,Aggressive,1 car length,0.4,0
849811,3,0,30y+,high school,upper class,1,after 2015,1,0,32765,,sports car,3,0,1,Drum,90%,High,0,1,90,Normal,2 car length,0.6,0
579336,3,0,10-19y,university,upper class,1,after 2015,1,1,10238,10000.0,sedan,0,0,2,Drum,30%,High,1,1,70,Normal,2 car length,0.9,0
648922,0,1,0-9y,university,middle class,1,before 2015,0,0,10238,13000.0,sedan,0,0,0,Drum,10%,Medium,0,0,60,Normal,3 car length,0.4,1
47909,3,1,10-19y,university,upper class,1,before 2015,1,1,10238,10000.0,sedan,1,0,4,Drum,50%,Low,0,1,70,Normal,3 car length,0.9,0
619577,3,0,30y+,university,upper class,1,after 2015,0,1,92101,11000.0,sedan,2,0,0,Disc,30%,Medium,1,1,70,Normal,4 car length,0.6,0
212678,3,0,20-29y,university,upper class,1,after 2015,0,1,32765,13000.0,sedan,1,0,1,Drum,70%,Low,1,0,70,Aggressive,3 car length,0.6,0
579720,1,1,10-19y,university,working class,0,before 2015,0,1,10238,,sports car,0,0,1,Drum,50%,Medium,0,0,40,Conservative,2 car length,0.5,1
995884,2,0,20-29y,university,upper class,1,after 2015,1,0,10238,11000.0,sedan,2,1,1,Disc,30%,High,1,0,85,Normal,3 car length,0.6,0
226326,2,0,10-19y,university,working class,1,after 2015,0,0,10238,13000.0,sedan,0,0,1,Drum,10%,Low,0,0,70,Conservative,2 car length,0.5,0
943922,1,1,10-19y,university,upper class,0,after 2015,1,1,32765,6000.0,sedan,8,0,0,Drum,10%,Medium,1,0,90,Aggressive,1 car length,0.6,0
510116,2,1,0-9y,high school,middle class,1,after 2015,0,1,10238,12000.0,sedan,0,0,0,Drum,30%,Medium,1,1,70,Conservative,4 car length,0.7,0
536546,0,0,0-9y,university,middle class,1,before 2015,1,1,10238,12000.0,sedan,0,0,0,Drum,50%,Low,0,0,90,Normal,4 car length,0.7,0
75592,2,0,10-19y,high school,working class,1,before 2015,0,1,10238,11000.0,sedan,0,0,1,Drum,70%,High,0,0,85,Conservative,1 car length,0.6,0
487116,1,1,10-19y,none,working class,1,before 2015,0,0,10238,,sedan,1,0,2,Drum,10%,Low,0,0,70,Aggressive,3 car length,0.5,1
936820,1,0,10-19y,high school,working class,1,before 2015,0,1,32765,12000.0,sedan,1,0,0,Drum,90%,High,0,0,90,Aggressive,4 car length,0.6,1
